.	38	59477	75938	206643	295028	441525	575464	718181	911583	1169484	1443867	1737367	2050009	2397087	2716576	3107792	3473001	3797342	4193259	4610988	5007187	5517979	5962065	6567264	7077711	7774218	8358530	9034314	9935631	10654357	11827848	12745901	13791430	15020126	16384170	17837727	19482417	20974763	23319453	25174217	28363473	666012608	
.	39	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	39	368	18170	159598	256157	414249	558766	716503	941474	1246147	1570455	1916623	2277401	2670920	3021451	3484150	3898178	4248862	4694406	5162389	5583751	6153119	6623142	7288717	7826992	8594464	9202063	9910557	10885120	11632458	12890249	13838403	14913523	16182425	17640383	19142896	20834840	22387222	24843271	26773426	30100484	666012608	
.	40	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	40	16334	34102	179597	277938	440377	589125	750741	979636	1289993	1617328	1966467	2333260	2730259	3083505	3553522	3972929	4326555	4779609	5252817	5680065	6253576	6725133	7398370	7938756	8711681	9322954	10032979	11011004	11764533	13024301	13974570	15053575	16322795	17784458	19291431	20980143	22531872	24983850	26902309	30207476	666012608	
.	41	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	41	636	19387	166006	263723	420680	566539	726618	956548	1269825	1602826	1956220	2325857	2728320	3084424	3547263	3966105	4322035	4773001	5242086	5664490	6235382	6705226	7369977	7907486	8672175	9277765	9984558	10955637	11701945	12953474	13899141	14970808	16237324	17691226	19190774	20876070	22426466	24874435	26794098	30113776	666012608	
.	42	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	42	31924	50997	197329	297369	458305	606155	768616	1000866	1317691	1651363	2006805	2376225	2776611	3134172	3608739	4032761	4391054	4848120	5323769	5754294	6330505	6806157	7482205	8025982	8803607	9416054	10129471	11116366	11871867	13142365	14095934	15176256	16453664	17924740	19436522	21133233	22695148	25164750	27096230	30432338	666012608	
.	43	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	43	6311	23308	164667	260104	413814	557216	713623	935312	1236373	1558235	1901116	2259806	2649633	2998520	3451938	3861423	4209255	4650509	5111232	5529000	6089083	6553264	7210944	7742771	8499532	9102096	9801252	10762984	11502607	12744626	13685175	14751307	16010955	17449899	18942599	20619219	22155967	24586040	26493754	29777004	666012608	
.	44	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
